Date;AAPL;Tesla;KU2;Facebook
18.05.12;60;21.78;17;31.6
21.05.12;61.91;21.96;17.12;27.43
22.05.12;63.24;23.78;17.79;25.22
23.05.12;63.87;24.02;17.61;25.14
24.05.12;64.56;24.46;17.37;25.8
25.05.12;63.88;23.66;17.05;25.35
28.05.12;64.43;23.66;17.11;25.17
29.05.12;65.15;24.89;18.03;23.3
30.05.12;66.55;25.49;17.67;22.59
31.05.12;66.68;23.67;17.77;21.93
01.06.12;64.9;22.8;16.7;22.39
04.06.12;63.58;22.23;16.3;21.26
05.06.12;64.63;22.3;16.25;21.21
06.06.12;65.05;23;16.65;20.75
07.06.12;65.16;23.34;17.1;21.18
08.06.12;65.83;23.37;17.19;21.71
11.06.12;66.5;23.79;17.08;22.35
12.06.12;65.52;23.37;16.97;21.85
13.06.12;65.45;23.94;16.54;21.83
14.06.12;64.74;23.3;16.51;22.25
15.06.12;64.48;23.03;16.59;22.78
18.06.12;66.44;25.47;17.2;25.35
19.06.12;66.06;25.66;17.11;25.16
20.06.12;65.8;26.82;17.59;24.95
21.06.12;66.24;26.62;17.64;25.23
22.06.12;65.64;26.97;17.47;26.54
25.06.12;65.57;26.39;17.25;25.63
26.06.12;64.92;25.6;16.81;26.56
27.06.12;65.99;25.83;17.05;26
28.06.12;65.24;25.05;16.8;25.17
29.06.12;65.47;24.95;17.77;24.6
02.07.12;67.15;24.5;18.14;24.59
03.07.12;67.94;24.2;18.75;24.85
04.07.12;68.43;24.6;18.77;24.87
05.07.12;70.83;25.28;18.56;25.06
06.07.12;70.23;25.15;18.51;25.55
09.07.12;71.14;25.2;18.61;26.51
10.07.12;71.56;26.11;18.88;25.97
11.07.12;70.43;25.5;19;25.33
12.07.12;70.54;26.71;19;25.48
13.07.12;70.69;27.52;19.06;25.24
16.07.12;71.1;28.68;19.06;24.01
17.07.12;70.78;27.8;19.02;22.23
18.07.12;70.45;26.98;18.99;23.56
19.07.12;71.42;26.74;19.07;23.52
20.07.12;71.33;25.81;18.84;23.92
23.07.12;70.76;25.49;18.24;23.47
24.07.12;71.43;25.28;18.09;24.04
25.07.12;68.14;23.96;18.05;23.72
26.07.12;66.8;23;18.4;22.4
27.07.12;67.36;23.07;18.81;19.39
30.07.12;69.61;22.96;18.94;19.01
31.07.12;70.87;22.62;18.47;17.73
01.08.12;70.56;21.37;18.4;17.11
02.08.12;71.02;21.05;17.99;16.48
03.08.12;71.18;22.13;18.52;17.61
06.08.12;71.86;22.99;19.09;17.39
07.08.12;71.58;24.38;19.58;17.44
08.08.12;71.83;23.6;19.95;16.89
09.08.12;72.18;23.82;19.87;17.05
10.08.12;72.06;24.22;19.85;17.58
13.08.12;72.71;24.2;19.63;17.61
14.08.12;73.52;24.23;19.85;16.94
15.08.12;73.26;23.86;20.3;16.92
16.08.12;73.34;24.14;20.25;16.31
17.08.12;74.8;24.62;20.5;15.57
20.08.12;76.74;24.27;20.04;16.08
21.08.12;74.55;24;19.9;15.46
22.08.12;75.85;23.99;19.81;15.58
23.08.12;75.62;24.05;19.84;15.58
24.08.12;76.05;23.85;19.8;15.6
27.08.12;77.36;23.26;19.91;15.36
28.08.12;76.68;23.06;19.85;15.33
29.08.12;76.93;22.65;19.97;15.36
30.08.12;76.03;22.1;19.72;15.39
31.08.12;75.28;22.55;19.64;14.42
03.09.12;76.04;22.32;20.36;14.44
04.09.12;76.15;22.36;20.23;14.13
05.09.12;76.29;22.37;20.38;14.84
06.09.12;76.61;22.63;20.95;15.01
07.09.12;76.05;22.59;21.2;14.7
10.09.12;74.86;21.98;21.14;14.64
11.09.12;73.74;21.61;21.7;15.11
12.09.12;73.51;21.57;22.45;16.22
13.09.12;75.31;22.4;22.21;16.49
14.09.12;75.25;22.92;21.97;16.67
17.09.12;75.89;24.44;21.94;16.46
18.09.12;76.58;23.46;22.27;16.76
19.09.12;76.76;23.85;22.35;17.29
20.09.12;76.97;24.01;22.15;17.64
21.09.12;77.19;23.3;22.16;17.7
24.09.12;75.77;23.89;22.1;16.05
25.09.12;75.66;21.99;22.53;15.98
26.09.12;74.14;21.6;22.33;16.05
27.09.12;75.08;22.07;22.38;16.01
28.09.12;74.77;23;22.49;17.01
01.10.12;73.69;22.26;22.66;17.05
02.10.12;72.23;22.45;23.04;17.15
03.10.12;73.83;22.49;23.02;17.06
